dx_id	name	created_by	created
project-G8F401j47ZF1B9728BZJPX0q	003_220217_A01295_0056_AHYKG7DRXY_MYE_new_capture_run1	user-jethror1	2022-02-23
project-G6Jf4gQ4z2f181P17jB4B892	002_211118_A01295_0036_AH5CK3DMXY_TWE	user-ykim	2021-11-22
project-G8gb5PQ4yf8ggZV615jGjZGk	002_220311_A01295_0066_AH3FWMDRX2_MYE	user-aishadahir	2022-03-14
project-Fkvqzbj4K09vvzv7JF26J3YK	003_200324_DiasDev	user-garnerm	2020-03-24
project-Fp6xXQ84XpVy7gFyKqf0zfB4	003_200408_Exome	user-jwahn	2020-04-08
project-FpKPvbj4xVXKJ52GF1ppzy4Z	003_200420_WESBakeoff	user-garnerm	2020-04-20
project-G8ZvGz045PB63pB17Q3jVKz4	002_220308_M03595_0373_00000000-K75VG_SNP	user-kjwinfield	2022-03-10
project-G7YGB0Q4Qyjyfxy4165Jk6G1	003_220118_test_eggd_tso500reporter	user-spaul4	2022-01-18
project-G52602j4yPzK2BxF4gzZx6Y5	003_210917_nimagen_GEL_vcf	user-ccharalambous	2021-09-17
project-G621FbQ4ZXq6jJjF210Jypy5	003_211104_htslib	user-sophier	2021-11-04
project-G8Z7b584XPQGky596f2835K8	002_220307_A01295_0064_BH32Y5DRX2_MYE	user-aishadahir	2022-03-09
project-G8YX2JQ4290Q53KB285p3jqQ	002_220304_A01295_0063_AH7TFVDMXY_TWE	user-toutoua	2022-03-08
project-G8Yj0JQ4ykZz3Y5q9K7FJzbP	003_220308_CodeSchool_Databases	user-toutoua	2022-03-08
project-G7G0P7Q4fbKbKvQ65bqpKz5p	003_220107_vaf-check	user-jethror1	2022-01-07
project-G6xpXfQ4yq7kPkX9PJ1YvgFp	003_211215_A01295_0039_AHMYK7DRXY_CEN	user-pyattc	2021-12-16
project-G3qG7z8492B9Kv2FG249X1vZ	002_210716_A01303_0013_BHFVFLDRXY_TWE	user-toutoua	2021-07-20
project-G7qzQY84vv3FQKXPJY9zG33j	002_220131_vaf_checks	user-jethror1	2022-01-31
project-G8XXxx04vy5Zf5xF3KJ471Z6	002_220306_vaf_checks_CP	user-garnerm	2022-03-06
project-G8XX2v04pX5jPv5076jB6vKX	002_220119_M03595_0365_000000000-K6YMC_CP	user-garnerm	2022-03-06
